iter,eval_func_value,time
0,7.213352655208307e-05,0.0015890830000000467
1,6.76916163134076e-05,0.0030429100000000098
2,6.499609246544006e-05,0.004487560000000057
3,6.320368187361914e-05,0.00604215599999991
4,6.19376472748795e-05,0.007626256999999859
5,6.1001759278291574e-05,0.009304114999999946
6,6.028468340153396e-05,0.010983234999999869
7,5.971920893601666e-05,0.012434829000000036
8,5.926261439186418e-05,0.01386369899999984
9,5.888668140083675e-05,0.015363542999999868
10,5.85720356752197e-05,0.01689207100000001
11,5.830499902123376e-05,0.01849028999999991
12,5.807565457428179e-05,0.019975485999999876
13,5.787662903212188e-05,0.02141934499999998
14,5.770232283051814e-05,0.02287109799999998
15,5.754844261917258e-05,0.02430201199999993
16,5.7411643897858355e-05,0.025722958000000018
17,5.728924439471461e-05,0.027155264999999984
18,5.717907614537615e-05,0.02871485099999993
19,5.7079442529851386e-05,0.030168728000000034
20,5.698886364263034e-05,0.03159095599999984
21,5.690619854265254e-05,0.033016430999999846
22,5.683044596061191e-05,0.034436986
23,5.676077806085048e-05,0.03586337100000003
24,5.669648641541902e-05,0.037311107999999926
25,5.663698735108765e-05,0.03875954599999987
26,5.6581752435539466e-05,0.04018153400000002
27,5.653034830311546e-05,0.04160894199999987
28,5.648238763854631e-05,0.04303828300000001
29,5.643754366826282e-05,0.04445906799999988
30,5.6395515679417595e-05,0.04588262899999984
31,5.635603732488612e-05,0.04731171099999987
32,5.6318906657882064e-05,0.04875035799999994
33,5.628390133700883e-05,0.050295397999999825
34,5.625086144796208e-05,0.05178032499999974
35,5.621961026234383e-05,0.05323405200000009
36,5.619000391450513e-05,0.05467164899999988
37,5.6161927996181106e-05,0.056102302999999853
38,5.613525630785218e-05,0.05753761599999985
39,5.6109901636842716e-05,0.05896867100000014
40,5.608576264510562e-05,0.06039333400000002
41,5.60627364452526e-05,0.06181701499999992
42,5.6040778074630745e-05,0.06323421399999996
43,5.6019802696349697e-05,0.06465840599999995
44,5.599973590722572e-05,0.06607694800000008
45,5.598052593121917e-05,0.06752205899999986
46,5.596212327225788e-05,0.06895928600000012
47,5.594446704630967e-05,0.07041247200000011
48,5.592752521370683e-05,0.07185586899999974
