iter,eval_func_value,time
0,7.587836089141394e-05,0.0016547739999999145
1,7.115324479358291e-05,0.003115769999999962
2,6.866166670271277e-05,0.004592504000000108
3,6.683344376806353e-05,0.0060468340000001675
4,6.540711822863755e-05,0.007548728000000171
5,6.428464438787728e-05,0.009009167999999956
6,6.337098783952953e-05,0.010623103999999994
7,6.26247147887538e-05,0.012314798999999876
8,6.202634424768077e-05,0.01385231099999995
9,6.154761170703205e-05,0.01532288000000026
10,6.116432206123953e-05,0.016756959999999932
11,6.085705620524498e-05,0.018202045000000222
12,6.061038151996801e-05,0.01966602400000017
13,6.0412051674295794e-05,0.02118901200000023
14,6.025235347022629e-05,0.02350421200000019
15,6.0123560640331984e-05,0.025572729999999932
16,6.001953394340691e-05,0.027442146999999917
17,5.9935376949735e-05,0.029045452000000083
18,5.986719502965105e-05,0.030634941000000193
19,5.981186477739333e-05,0.032243774999999975
20,5.976689897384339e-05,0.03379672400000011
21,5.9730300215022356e-05,0.03533912299999997
22,5.970047077947461e-05,0.036875133000000115
23,5.967611976804724e-05,0.038880833999999975
24,5.9656210971129116e-05,0.04047327200000028
25,5.9639914461026084e-05,0.04199626200000006
26,5.962655688423676e-05,0.04354448899999985
27,5.96155951580597e-05,0.044957914999999904
28,5.960658679391822e-05,0.04640191999999965
29,5.959917103968389e-05,0.04787961499999982
30,5.9593064619615475e-05,0.04930795800000043
31,5.9588027986332394e-05,0.0508142949999999
32,5.9583870368568764e-05,0.05224877700000041
33,5.9580434236635414e-05,0.05384700400000009
34,5.957759055909736e-05,0.055384361000000215
35,5.957523475252774e-05,0.05688376300000053
36,5.9573285074227123e-05,0.05830133599999998
37,5.9571664458141594e-05,0.059765245999999994
38,5.957032267277812e-05,0.06118274799999979
39,5.956920531327713e-05,0.06259844999999986
40,5.956827634543573e-05,0.0640934010000005
41,5.9567504730923934e-05,0.06578228100000016
42,5.9566862793539405e-05,0.06737262200000016
43,5.956632346107389e-05,0.06894126700000003
44,5.9565879913758714e-05,0.0705275190000001
45,5.95655063411335e-05,0.0721057479999998
46,5.9565194522709406e-05,0.07368136600000019
47,5.9564933608828065e-05,0.07519377199999999
48,5.956471874108465e-05,0.07681486699999995
49,5.956453874034012e-05,0.0782562419999997
50,5.9564386924927476e-05,0.07972976800000042
51,5.956425865111303e-05,0.08116811700000026
52,5.9564154527515235e-05,0.08260503399999974
53,5.956406399749084e-05,0.08406091300000051
54,5.956399057015933e-05,0.08548680900000027
55,5.956393019208396e-05,0.08706364800000044
56,5.956387530835969e-05,0.08849798300000034
57,5.956383292317341e-05,0.08993682199999986
58,5.9563797510931404e-05,0.09140348300000012
59,5.956376709275219e-05,0.09281812200000017
60,5.956374285538107e-05,0.09421421599999968
61,5.956371801412347e-05,0.0956576530000004
62,5.956370146399092e-05,0.09711490400000011
63,5.95636839377071e-05,0.09855522599999977
64,5.956367035562568e-05,0.09998506800000007
65,5.956366365167197e-05,0.10138764899999986
66,5.956365274146786e-05,0.10287529600000012
67,5.9563646327155836e-05,0.10440829700000043
68,5.956363820196159e-05,0.10587316100000033
69,5.956363513235713e-05,0.10743701499999991
70,5.956362961935827e-05,0.10891679800000054
71,5.956362671671305e-05,0.11035379400000034
72,5.956362545072754e-05,0.11182393599999996
73,5.956362124006947e-05,0.1132434710000001
74,5.956361911177075e-05,0.11466773100000038
75,5.956361538858068e-05,0.11607632799999967
76,5.956361621729542e-05,0.11750204799999997
77,5.956361437104032e-05,0.11894757899999986
78,5.956361280865076e-05,0.12038358300000018
79,5.956361226529323e-05,0.12181083300000006
80,5.9563613397992066e-05,0.12332097600000003
81,5.956361068779573e-05,0.12473238500000017
82,5.9563611677483694e-05,0.12627560400000037
83,5.956360963797946e-05,0.12780653600000003
84,5.956360975329061e-05,0.12927124799999978
85,5.9563609678931464e-05,0.13075951499999983
86,5.956360811251524e-05,0.13218110700000052
87,5.956360847483329e-05,0.13360800799999994
88,5.956360852509783e-05,0.13508991400000037
89,5.9563609129158726e-05,0.1365514530000005
90,5.9563611245741656e-05,0.13799581699999974
91,5.956360898639934e-05,0.13948236599999975
92,5.9563607266309773e-05,0.14094461199999975
93,5.9563607119466326e-05,0.14235720900000048
94,5.9563607379131784e-05,0.14381708800000004
95,5.956360772653689e-05,0.14531061800000034
96,5.956360979884654e-05,0.14678682399999987
97,5.9563607423772555e-05,0.1482162739999997
98,5.956360580927846e-05,0.14970631199999973
99,5.956360707434175e-05,0.15135743800000023
100,5.956360818491081e-05,0.1529515309999998
101,5.9563607618273505e-05,0.15456781400000041
102,5.9563608634174105e-05,0.1561472690000003
103,5.956360827440221e-05,0.15770950900000047
104,5.956360857351948e-05,0.15928738800000053
105,5.956360790786412e-05,0.1607603179999999
106,5.956360796852719e-05,0.16225448200000026
107,5.9563605673935626e-05,0.16375506599999978
108,5.9563607276796075e-05,0.16525697699999986
109,5.9563607299446265e-05,0.1667311530000002
110,5.956360936272685e-05,0.1681556660000001
111,5.9563607394438604e-05,0.1696107020000004
112,5.9563607827330364e-05,0.17106760599999982
113,5.9563607348979776e-05,0.17250166499999997
114,5.9563606239670036e-05,0.17391328000000028
115,5.956360636346307e-05,0.17537170899999976
116,5.956360673728178e-05,0.17688657699999988
117,5.956360690126546e-05,0.17832975799999984
118,5.956360619374177e-05,0.17978314899999992
119,5.956360811844385e-05,0.18123188099999998
120,5.9563607435548434e-05,0.18271717700000023
121,5.9563606208818405e-05,0.18411792899999968
122,5.9563608898331135e-05,0.1855990369999998
123,5.9563606623965895e-05,0.18734327200000012
124,5.9563607396315094e-05,0.18891384899999997
125,5.956360890320336e-05,0.1904464520000002
126,5.956360711967657e-05,0.19191299000000006
127,5.956361023410321e-05,0.19351203800000016
128,5.956360774794294e-05,0.19501208499999967
129,5.95636080854181e-05,0.19645112299999967
130,5.956360841426148e-05,0.19788391100000036
131,5.956360738528418e-05,0.19931946499999986
132,5.956360889519441e-05,0.20077687999999982
133,5.9563608148959406e-05,0.2021934040000004
134,5.956361152097217e-05,0.20366905199999996
135,5.956360715242793e-05,0.20508837300000016
136,5.956360830212745e-05,0.20653924300000037
137,5.9563609832524524e-05,0.20794212600000028
138,5.95636085005235e-05,0.2093702770000001
139,5.956361084736649e-05,0.21083765600000026
140,5.9563608826135074e-05,0.21226106099999997
141,5.956360686069455e-05,0.2136550439999998
142,5.9563607544624485e-05,0.21509772999999965
143,5.9563606952800376e-05,0.2165669720000003
144,5.956360720795991e-05,0.21798408499999988
145,5.95636064136717e-05,0.2194162829999997
146,5.956360739294169e-05,0.22080730599999976
147,5.9563605864896886e-05,0.22221214100000042
148,5.956360922429747e-05,0.22367826100000032
149,5.95636070099236e-05,0.22511698800000035
150,5.95636053031107e-05,0.22660646600000023
151,5.956360519808547e-05,0.22804643900000032
152,5.956360692135773e-05,0.22950079200000006
153,5.9563608282067435e-05,0.2309427730000002
154,5.956360618760291e-05,0.23236464600000017
155,5.9563607902978056e-05,0.23377930400000002
156,5.95636069428683e-05,0.23535869900000028
157,5.956360652619698e-05,0.23694010700000012
158,5.9563608936369494e-05,0.23849418000000044
159,5.956360853244951e-05,0.23996755899999966
160,5.956360908434665e-05,0.24140080600000013
161,5.95636073710188e-05,0.24287434600000024
162,5.9563607386386174e-05,0.24432092300000052
163,5.9563606619007487e-05,0.24575327699999994
164,5.956360731860984e-05,0.24722195099999977
165,5.956360930023072e-05,0.24863029200000009
166,5.9563608279817614e-05,0.2500688840000005
167,5.9563607875896855e-05,0.2515277330000001
168,5.956360782294358e-05,0.2529428700000005
169,5.9563607847464364e-05,0.25438452200000006
170,5.9563609138891954e-05,0.25583328299999986
171,5.956360764050935e-05,0.25726554499999965
172,5.956360620118181e-05,0.2587517629999998
173,5.956360683233267e-05,0.2601759229999998
174,5.956360634277664e-05,0.26158218
175,5.956360776082006e-05,0.2630252470000003
176,5.95636094825496e-05,0.2644274499999999
177,5.956360957168895e-05,0.26588537300000015
178,5.956360761853947e-05,0.26730101699999986
179,5.9563607555995e-05,0.26872488000000017
180,5.956360849629798e-05,0.27033129899999997
181,5.956360934923452e-05,0.2717455310000001
182,5.956360683398584e-05,0.2731664430000005
183,5.9563609686761776e-05,0.2746342450000001
184,5.9563609170254827e-05,0.2760741699999998
185,5.956360842631496e-05,0.27758860100000016
186,5.956360892604248e-05,0.2792235910000005
187,5.956360824349904e-05,0.2807884140000003
188,5.9563607267638877e-05,0.2823848410000003
189,5.956360701087366e-05,0.28385583400000014
190,5.9563608329480125e-05,0.28529849300000043
191,5.956360989872894e-05,0.286738975
192,5.956360916362716e-05,0.28819342699999995
193,5.956360825203086e-05,0.28960976400000016
194,5.9563608202837186e-05,0.29104443300000016
195,5.9563606742163665e-05,0.2924592970000002
196,5.956360658142756e-05,0.2938544730000001
197,5.956360624792717e-05,0.2952888410000001
198,5.9563607965970115e-05,0.2967356210000003
199,5.9563606912144055e-05,0.29817812600000027
