iter,eval_func_value,time
0,7.587835926419494e-05,0.0023160979999996556
1,7.115324295555582e-05,0.004313175000000058
2,6.866166374351943e-05,0.006328616999999426
3,6.683344150806161e-05,0.008319794000000158
4,6.540711638311321e-05,0.010300060999998806
5,6.42846421547844e-05,0.012412646999999666
6,6.337098848428962e-05,0.014421075999999644
7,6.262471387562179e-05,0.016577112000000227
8,6.202634404585449e-05,0.019306494000000285
9,6.1547610646833e-05,0.021965814999999722
10,6.116432131178141e-05,0.0239706489999989
11,6.085705651721257e-05,0.02595600399999931
12,6.061038036994198e-05,0.027944345999999953
13,6.041205276429529e-05,0.03000377199999882
14,6.025235526117287e-05,0.0322045219999989
15,6.0123561326166274e-05,0.034239220999999986
16,6.0019534194658596e-05,0.0362337239999988
17,5.993537783462143e-05,0.038229008000000064
18,5.9867193653828495e-05,0.040202102000000295
19,5.981186430126402e-05,0.04217917299999918
20,5.976690008267868e-05,0.0441637669999988
21,5.973030165636507e-05,0.046132591999999306
22,5.9700470949084676e-05,0.04827779899999918
23,5.967611769537337e-05,0.05030873099999944
24,5.965621096123905e-05,0.05228401699999985
25,5.9639916016021054e-05,0.05424411499999948
26,5.962656150219195e-05,0.05624489899999929
27,5.9615598616907967e-05,0.058214736000000045
28,5.960658616008856e-05,0.06020127299999878
29,5.95991728744102e-05,0.062161972000000176
30,5.959306459606866e-05,0.06411097099999985
31,5.958802926225835e-05,0.0663202260000002
32,5.958387278763017e-05,0.06838082300000003
33,5.958043647064294e-05,0.07036043899999989
34,5.957759200203368e-05,0.07232021699999969
35,5.95752360620358e-05,0.07426750299999973
36,5.957328662102339e-05,0.07621417799999897
37,5.957166882808298e-05,0.07815944899999927
38,5.9570322898433056e-05,0.0801189769999997
39,5.956920779887902e-05,0.08224891399999912
40,5.9568276520349976e-05,0.08421522499999945
41,5.956750451597765e-05,0.08617950200000024
42,5.9566863669972574e-05,0.08812746799999971
43,5.9566326768126086e-05,0.09010113299999922
