iter,eval_func_value,time
0,8.925050957278016e-09,0.08648552100021334
1,7.561116974355914e-09,0.16681475500035958
2,4.05024221809263e-09,0.4161204910001288
3,4.069347254892036e-09,0.5777036310000767
4,4.060955711205441e-09,0.6893900980003309
5,4.06357823494938e-09,0.8051312120001057
6,4.068809738619085e-09,0.8952852440002061
7,4.059425296224066e-09,0.976759439000034
8,4.04988855786646e-09,1.127982338000038
9,4.050691553519999e-09,1.2099049110001943
10,4.066861702228528e-09,1.2958505650003644
11,4.06570178387011e-09,1.3745945680002478
12,4.0658912456387745e-09,1.4517451240003538
13,4.07292961669268e-09,1.5311117120004383
14,4.053537836728403e-09,1.6121811200000593
15,4.061211914046537e-09,1.7039511330003734
16,4.061654960945907e-09,1.7874639040001057
17,4.0606240064027775e-09,1.882069025000419
18,4.058543527520417e-09,1.9700268200003848
19,4.0667232887545255e-09,2.0864566330001253
20,4.06881132584507e-09,2.207434256000397
21,4.061947269012033e-09,2.303156496000156
22,4.069933612877993e-09,2.398035894000259
23,4.031082014563772e-09,2.5212218770002437
24,4.0668288033443195e-09,2.7095443350003734
25,4.062201781908407e-09,2.824605738000173
26,4.070462697414167e-09,2.90571548600019
27,4.063834949832334e-09,2.9890149610000663
28,4.046573779056235e-09,3.098382438000044
29,4.018474920585896e-09,3.187844511000094
30,4.063690429233957e-09,3.2812718270001824
31,4.069305415725852e-09,3.367098064000402
32,4.0520053759719845e-09,3.46469310700013
33,4.066074190245013e-09,3.5657179460004045
34,4.059670405245261e-09,3.6500176790000296
35,4.040590532478923e-09,3.7333515900004386
36,4.070373945046297e-09,3.8236103270000967
37,4.063267998370039e-09,3.959799796000425
38,4.0621857297402465e-09,4.042805599000076
39,4.0540073763493216e-09,4.128208867000012
40,4.064874206508075e-09,4.239491969000028
41,4.052065382861189e-09,4.333980533000158
42,4.065209861679717e-09,4.426205719000336
43,4.065108198597759e-09,4.50327504400002
44,4.062612159581296e-09,4.606771903000208
45,4.0166601162642995e-09,4.690999032000036
46,4.061860020552549e-09,4.778603049000139
47,4.065677645613057e-09,4.865939958000126
48,4.06443587616103e-09,4.946568665000086
49,4.052662935866332e-09,5.03044587300019
50,4.057800658134883e-09,5.115183630000047
51,4.058598996055314e-09,5.235939497000345
52,4.055638997638443e-09,5.405111327000213
53,4.0221656509878524e-09,5.524176121000437
54,4.065498074258862e-09,5.640681278000102
55,4.066775009201008e-09,5.749195662000147
56,4.063520219555835e-09,5.859346764000293
57,4.059236237912196e-09,6.032692442000098
58,4.067320568516412e-09,6.178341386000284
59,4.062202798598008e-09,6.351707927000007
60,4.047829697982056e-09,6.4347853220001525
61,4.061246078639352e-09,6.598817165000128
62,4.051031317378951e-09,6.69971310200026
63,4.0578307527947146e-09,6.797382950000156
64,4.0544276401587875e-09,6.884181162000004
65,4.027932496264125e-09,6.9738404550003
66,4.065646586000574e-09,7.056779153000207
67,4.070067965614095e-09,7.145116472000154
68,4.06053711630146e-09,7.233008629000324
69,4.061040968336597e-09,7.4030770340000345
70,4.036775530175097e-09,7.499923028000012
71,4.060530735396799e-09,7.596941851000338
72,4.060973166570669e-09,7.678668456000196
73,4.0607909423561e-09,7.750371202000224
74,4.0665211848253995e-09,7.9219133800002055
75,4.068213669327658e-09,8.013113282000177
76,4.06614244900154e-09,8.099125130000175
77,4.064689332108551e-09,8.185688754000239
78,3.9782280431244855e-09,8.278346584000246
79,4.0258589305368865e-09,8.367134049000015
80,4.065190090183043e-09,8.455664724000144
81,4.056332854194461e-09,8.572040154000206
82,4.051128203881601e-09,8.660614869000256
83,4.055995150936691e-09,8.758273718000055
84,4.06555904791552e-09,8.860050758000398
85,4.067128892291926e-09,8.96250579200023
86,4.0639552043660485e-09,9.057645972000046
87,4.045474258397879e-09,9.142152214000362
88,4.062939516443008e-09,9.278336695000235
89,4.055092230274333e-09,9.375067087000389
90,4.066361474139986e-09,9.463910136000322
91,4.067781916234921e-09,9.579075992000071
92,4.052526333060671e-09,9.80166639800018
93,4.053034501810192e-09,9.913280992000182
94,4.069541830642332e-09,10.027812325000014
95,4.066780774898993e-09,10.287394428000425
96,4.071895095826721e-09,10.736252050000076
97,4.068073274837158e-09,10.821356128000389
98,4.0270167768631915e-09,10.918859238000096
99,4.0342679643642686e-09,11.016905404000227
100,4.044738245117443e-09,11.10942717800026
101,4.0578463444379686e-09,11.20949973300003
102,4.052479619234593e-09,11.308757486000104
103,4.061101792387956e-09,11.44740969600025
104,4.0632779036303425e-09,11.537131070000214
105,4.065031606556123e-09,11.615044678000231
106,4.052250905831417e-09,11.696465211000032
107,4.053763611781415e-09,11.841429134999998
108,4.043701896949609e-09,12.188418640000236
109,4.037492919227654e-09,12.302186518000326
110,4.035595047881544e-09,12.417952686000262
111,4.053643333978929e-09,13.081295369000145
112,4.060716970187264e-09,13.169855976000235
113,4.067559646781126e-09,13.260241212000437
114,4.060058254558371e-09,13.431228547000046
115,4.018273141114633e-09,13.524386796000272
116,4.0516885346437365e-09,13.616929110000001
117,4.069029299348291e-09,13.740937124000084
118,4.0698735513820406e-09,13.839341644000342
119,4.022786263578527e-09,13.93397842000013
120,4.047432152189809e-09,14.017644025000209
121,4.057039456315204e-09,14.123937799000032
122,4.0702296976632195e-09,14.206329412000287
123,4.053242594781723e-09,14.290704934000132
124,4.0529606439902845e-09,14.374696282000059
125,4.061546012585721e-09,14.460884338000142
126,4.030637488947378e-09,14.552050210000289
127,4.067278141490356e-09,14.643890279000061
128,4.0582203161353785e-09,14.730548460000136
129,4.0722093729288325e-09,14.846289186000377
130,4.0588465235803914e-09,14.93410134700025
131,4.0603859446732474e-09,15.020838291000018
132,4.062938063616773e-09,15.108257572000184
133,4.0609071237759635e-09,15.1962670730004
134,4.061362143456344e-09,15.282200696000018
135,4.0642760322452145e-09,15.369318184000349
136,4.060115370389358e-09,15.458591289000196
137,4.0596397750466035e-09,15.538710890000402
138,4.056666891944372e-09,15.65790472100025
139,4.058422840040375e-09,15.748346241000036
140,4.061718820064205e-09,15.837590297000133
141,4.0656870432088994e-09,15.93636761200014
142,4.071124227423426e-09,16.07862537200026
143,4.060108614426157e-09,16.182232378000208
144,4.066145930080496e-09,16.29885473200011
145,4.055761590550358e-09,16.38822680200019
146,4.057457513119149e-09,16.4788194140001
147,4.053349053176777e-09,16.56947635700044
148,4.054854907404201e-09,16.66255830800037
149,4.039876182918562e-09,16.750311323000005
150,4.065683161730871e-09,16.86541008200038
151,4.050645538330567e-09,16.9445999630002
152,4.04284617967548e-09,17.040850888000023
153,4.041283746363878e-09,17.128375670000423
154,3.791599594987566e-09,17.210299426000347
155,4.054745657114498e-09,17.29596298200022
156,4.065856327113217e-09,17.462819353000214
157,4.0599092236537785e-09,17.601297676000286
158,4.048413593441214e-09,18.161363616000017
159,4.055669022102593e-09,18.246957036000367
160,4.053185244074966e-09,18.33147058600025
161,4.058496452171887e-09,18.415569496000444
162,4.054185090462649e-09,18.50317201800044
163,4.06112130013565e-09,18.582401113000287
164,4.067933186643125e-09,18.685473
165,4.062630873421742e-09,18.782088301000385
166,4.049608945145485e-09,18.871657619000416
167,4.0655491081148875e-09,18.961496036000426
168,4.0697759595689105e-09,19.05886082400002
169,4.063752603172816e-09,19.17204481700037
170,4.064864127232714e-09,19.283702910000102
171,4.03962935007653e-09,19.396353401000397
172,4.062569584344405e-09,19.509199839000303
173,4.054055529993587e-09,19.605636498000422
174,4.063953372146241e-09,19.705243291000443
175,4.061673161920541e-09,19.807498712000324
176,4.058338661358853e-09,19.908514170000217
177,4.0670987322428685e-09,20.006363694000356
178,4.061101977645391e-09,20.156871396000042
179,4.054691331971092e-09,20.243884836000234
180,4.068247439512071e-09,20.329596072000186
181,4.033529932857145e-09,20.422161273000256
182,4.01702906294271e-09,20.506421630000204
183,4.064172053185974e-09,20.61713051100014
184,4.067437464022411e-09,20.784336798000368
185,4.059751543636853e-09,20.876268367000193
186,4.064126441581931e-09,20.998987438000313
187,4.062102458451951e-09,21.11065140000028
188,4.067613066845412e-09,21.215800195000156
189,4.05252950384903e-09,21.378014105000148
190,4.059799588169098e-09,21.483959805000268
191,4.066055179884475e-09,21.593857977000425
192,4.059085264709887e-09,21.694158319000053
193,4.055421528815917e-09,21.79636891600012
194,4.0551402001213406e-09,21.903634467000302
195,4.0666257839070986e-09,22.098242284000207
196,4.066748558583122e-09,22.20327067900007
197,4.054364996616293e-09,22.30340734900028
198,4.054533851369428e-09,22.401235167000323
199,4.061188951660911e-09,22.507466086000022
